CDM Number,Description,Fee
"71046,26,PR","RADIOLOGIC EXAMINATION, CHEST; 2 VIEWS",33
"71046,TC,UB","RADIOLOGIC EXAMINATION, CHEST; 2 VIEWS",59
"71047,26,PR","RADIOLOGIC EXAMINATION, CHEST; 3 VIEWS",43
"71047,TC,UB","RADIOLOGIC EXAMINATION, CHEST; 3 VIEWS",74
"71048,26,PR","RADIOLOGIC EXAMINATION, CHEST; 4 OR MORE VIEWS",49
"71048,TC,UB","RADIOLOGIC EXAMINATION, CHEST; 4 OR MORE VIEWS",77
"71045,26,PR","RADIOLOGIC EXAMINATION, CHEST; SINGLE VIEW",28
"71045,TC,UB","RADIOLOGIC EXAMINATION, CHEST; SINGLE VIEW",32
"73551,26,PR","RADIOLOGIC EXAMINATION, FEMUR; 1 VIEW",25
"73551,TC,UB","RADIOLOGIC EXAMINATION, FEMUR; 1 VIEW",57
"73501,26,PR","RADIOLOGIC EXAMINATION, HIP, UNILATERAL, WITH PELVIS WHEN PERFORMED; 1 VIEW",29
"73501,TC,UB","RADIOLOGIC EXAMINATION, HIP, UNILATERAL, WITH PELVIS WHEN PERFORMED; 1 VIEW",60
"73521,26,PR","RADIOLOGIC EXAMINATION, HIPS, BILATERAL, WITH PELVIS WHEN PERFORMED; 2 VIEWS",35
"73521,TC,UB","RADIOLOGIC EXAMINATION, HIPS, BILATERAL, WITH PELVIS WHEN PERFORMED; 2 VIEWS",83
"72081,26,PR","RADIOLOGIC EXAMINATION, SPINE, ENTIRE THORACIC AND LUMBAR, INCLUDING SKULL, CERVICAL AND SACRAL SPINE IF PERFORMED (EG, SCOLIOSIS EVALUATION) ONE VIEW",40
"72081,TC,UB","RADIOLOGIC EXAMINATION, SPINE, ENTIRE THORACIC AND LUMBAR, INCLUDING SKULL, CERVICAL AND SACRAL SPINE IF PERFORMED (EG, SCOLIOSIS EVALUATION) ONE VIEW",75
"77770,26,PR","REMOTE AFTERLOADING HIGH DOSE RATE RADIONUCLIDE INTERSTITIL OR INTRACAVITARY BRACHYTHERAPY, INCLUDES BASIC DOSIMETRY, WHEN PERFORMED; 1 CHANNEL",302
"77770,TC,UB","REMOTE AFTERLOADING HIGH DOSE RATE RADIONUCLIDE INTERSTITIL OR INTRACAVITARY BRACHYTHERAPY, INCLUDES BASIC DOSIMETRY, WHEN PERFORMED; 1 CHANNEL",656
"77767,26,PR","REMOTE AFTERLOADING HIGH DOSE RATE RADIONUCLIDE SKIN SURFACE BRACHYTHERAPY, INCLUDES BASIC DOSIMETRY, WHEN PERFORMED; LESION DIAMETER UP TO 2.0 CM OR 1 CHANNEL",163
"77767,TC,UB","REMOTE AFTERLOADING HIGH DOSE RATE RADIONUCLIDE SKIN SURFACE BRACHYTHERAPY, INCLUDES BASIC DOSIMETRY, WHEN PERFORMED; LESION DIAMETER UP TO 2.0 CM OR 1 CHANNEL",507
"77768,26,PR","REMOTE AFTERLOADING HIGH DOSE RATE RADIONUCLIDE SKIN SURFACE BRACHYTHERAPY, INCLUDES BASIC DOSIMETRY, WHEN PERFORMED; LESION DIAMETER UP TO 2.0 CM OR 1 CHANNEL",217
"77768,TC,UB","REMOTE AFTERLOADING HIGH DOSE RATE RADIONUCLIDE SKIN SURFACE BRACHYTHERAPY, INCLUDES BASIC DOSIMETRY, WHEN PERFORMED; LESION DIAMETER UP TO 2.0 CM OR 1 CHANNEL",833
"69209,50,PR","REMOVAL IMPACTED CERUMEN USING IRRIGATION/LAVAGE, UNILATERAL",38
"69209,50,UB","REMOVAL IMPACTED CERUMEN USING IRRIGATION/LAVAGE, UNILATERAL",38
"69209,PR","REMOVAL IMPACTED CERUMEN USING IRRIGATION/LAVAGE, UNILATERAL",19
"69209,UB","REMOVAL IMPACTED CERUMEN USING IRRIGATION/LAVAGE, UNILATERAL",19
"11201,PR",REMOVAL OF EACH ADD'L 10 SKIN TAGS,21
"11201,UB",REMOVAL OF EACH ADD'L 10 SKIN TAGS,32
"54060,PR",REMOVAL OF PENIS LESION(S),212
"54060,UB",REMOVAL OF PENIS LESION(S),343
"33233,PR",REMOVAL OF PERMANENT PACEMAKER PULSE GENERATOR,279
"33233,UB",REMOVAL OF PERMANENT PACEMAKER PULSE GENERATOR,463
"11730,PR",REMOVAL OF SINGLE NAIL PLATE,200
"11730,UB",REMOVAL OF SINGLE NAIL PLATE,65
"11200,PR","REMOVAL OF SKIN TAGS, UP TO 15",180
"11200,UB","REMOVAL OF SKIN TAGS, UP TO 15",50
"11732,PR","REMOVAL, EA ADD NAIL PLATE PRTL/CMP",49
"11732,UB","REMOVAL, EA ADD NAIL PLATE PRTL/CMP",74
"69210,PR",REMOVE IMPACTED EAR WAX,87
"69210,UB",REMOVE IMPACTED EAR WAX,52
"11420,PR","REMOVE LESION, SCALP/NECK/HAND/FOOT",123
"11420,UB","REMOVE LESION, SCALP/NECK/HAND/FOOT",199
"11421,PR","REMOVE LESION, SCALP/NECK/HAND/FOOT",170
"11421,UB","REMOVE LESION, SCALP/NECK/HAND/FOOT",248
"11422,51,PR","REMOVE LESION, SCALP/NECK/HAND/FOOT",160
"11422,51,UB","REMOVE LESION, SCALP/NECK/HAND/FOOT",306
"11422,59,PR","REMOVE LESION, SCALP/NECK/HAND/FOOT",160
"11422,59,UB","REMOVE LESION, SCALP/NECK/HAND/FOOT",306
"11422,PR","REMOVE LESION, SCALP/NECK/HAND/FOOT",160
"11422,UB","REMOVE LESION, SCALP/NECK/HAND/FOOT",306
"11423,PR","REMOVE LESION, SCALP/NECK/HAND/FOOT",411
"11423,UB","REMOVE LESION, SCALP/NECK/HAND/FOOT",130
"11426,PR","REMOVE LESION, SCALP/NECK/HAND/FOOT",448
"11426,UB","REMOVE LESION, SCALP/NECK/HAND/FOOT",449
"11400,PR","REMOVE LESION, TRUNK/ARM/LEG",136
"11400,UB","REMOVE LESION, TRUNK/ARM/LEG",183
"11401,51,PR","REMOVE LESION, TRUNK/ARM/LEG",194
"11401,51,UB","REMOVE LESION, TRUNK/ARM/LEG",199
"11401,59,PR","REMOVE LESION, TRUNK/ARM/LEG",194
"11401,59,UB","REMOVE LESION, TRUNK/ARM/LEG",199
"11401,PR","REMOVE LESION, TRUNK/ARM/LEG",194
"11401,UB","REMOVE LESION, TRUNK/ARM/LEG",199
"11402,51,PR","REMOVE LESION, TRUNK/ARM/LEG",178
"11402,51,UB","REMOVE LESION, TRUNK/ARM/LEG",259
"11402,59,PR","REMOVE LESION, TRUNK/ARM/LEG",178
"11402,59,UB","REMOVE LESION, TRUNK/ARM/LEG",259
"11402,PR","REMOVE LESION, TRUNK/ARM/LEG",178
"11402,UB","REMOVE LESION, TRUNK/ARM/LEG",259
"11403,PR","REMOVE LESION, TRUNK/ARM/LEG",182
"11403,UB","REMOVE LESION, TRUNK/ARM/LEG",323
"11404,59,PR","REMOVE LESION, TRUNK/ARM/LEG",437
"11404,59,UB","REMOVE LESION, TRUNK/ARM/LEG",136
"11404,79,PR","REMOVE LESION, TRUNK/ARM/LEG",437
"11404,79,UB","REMOVE LESION, TRUNK/ARM/LEG",136
"11404,PR","REMOVE LESION, TRUNK/ARM/LEG",437
"11404,UB","REMOVE LESION, TRUNK/ARM/LEG",136
"11406,PR","REMOVE LESION, TRUNK/ARM/LEG",354
"11406,UB","REMOVE LESION, TRUNK/ARM/LEG",465
"11440,PR","REMOVE LESION,FACE/LID/EAR/NOSE/LIP",153
"11440,UB","REMOVE LESION,FACE/LID/EAR/NOSE/LIP",200
"11441,PR","REMOVE LESION,FACE/LID/EAR/NOSE/LIP",144
"11441,UB","REMOVE LESION,FACE/LID/EAR/NOSE/LIP",303
"11641,PR","REMOVE MALIG LESION, FACE/NOSE/LIPS",261
"11641,UB","REMOVE MALIG LESION, FACE/NOSE/LIPS",382
"11642,PR","REMOVE MALIG LESION, FACE/NOSE/LIPS",299
"11642,UB","REMOVE MALIG LESION, FACE/NOSE/LIPS",441
"11621,PR","REMOVE MALIG LESION, HEAD/HAND/FOOT",256
"11621,UB","REMOVE MALIG LESION, HEAD/HAND/FOOT",359
"11600,PR","REMOVE MALIG LESION, TRUNK/ARM/LEG",420
"11600,UB","REMOVE MALIG LESION, TRUNK/ARM/LEG",78
"11601,PR","REMOVE MALIG LESION, TRUNK/ARM/LEG",321
"11601,UB","REMOVE MALIG LESION, TRUNK/ARM/LEG",289
"11602,79,PR","REMOVE MALIG LESION, TRUNK/ARM/LEG",271
"11602,79,UB","REMOVE MALIG LESION, TRUNK/ARM/LEG",398
"11602,PR","REMOVE MALIG LESION, TRUNK/ARM/LEG",271
"11602,UB","REMOVE MALIG LESION, TRUNK/ARM/LEG",398
"65205,PR",REMOVE OBJECT FROM EXTERNAL EYE,60
"65205,UB",REMOVE OBJECT FROM EXTERNAL EYE,62
"69200,PR",REMOVE OBJECT FROM OUTER EAR CANAL,287
"69200,UB",REMOVE OBJECT FROM OUTER EAR CANAL,47
"45915,PR",REMOVE RECTAL OBSTRUCTION,362
"45915,UB",REMOVE RECTAL OBSTRUCTION,492
"10121,PR","REMOVE SKIN FOREIGN BODY, COMPLIC",442
"10121,UB","REMOVE SKIN FOREIGN BODY, COMPLIC",275
"10120,PR","REMOVE SKIN FOREIGN BODY, SIMPLE",183
"10120,UB","REMOVE SKIN FOREIGN BODY, SIMPLE",188
"36590,PR",REMV TUNNLD CVAD,329
"36590,UB",REMV TUNNLD CVAD,478
"12031,51,79,PR",REPAIR INTERMEDI,263
"12031,51,79,UB",REPAIR INTERMEDI,393
"12031,51,PR",REPAIR INTERMEDI,263
"12031,51,UB",REPAIR INTERMEDI,393
"12031,PR",REPAIR INTERMEDI,263
"12031,UB",REPAIR INTERMEDI,393
"12032,51,PR",REPAIR INTERMEDI,341
"12032,51,UB",REPAIR INTERMEDI,493
"12032,58,PR",REPAIR INTERMEDI,341
"12032,58,UB",REPAIR INTERMEDI,493
"12032,59,PR",REPAIR INTERMEDI,341
"12032,59,UB",REPAIR INTERMEDI,493
"12032,79,51,PR",REPAIR INTERMEDI,341
"12032,79,51,UB",REPAIR INTERMEDI,493
"12032,PR",REPAIR INTERMEDI,341
"12032,UB",REPAIR INTERMEDI,493
"12041,51,PR",REPAIR INTERMEDI,268
"12041,51,UB",REPAIR INTERMEDI,419
"12051,PR",REPAIR INTERMEDI,290
"12051,UB",REPAIR INTERMEDI,442
"12011,PR","REPAIR SUPERFICIAL WOUNDS, FACE",276
"12011,UB","REPAIR SUPERFICIAL WOUNDS, FACE",162
"12013,PR","REPAIR SUPERFICIAL WOUNDS, FACE",372
"12013,UB","REPAIR SUPERFICIAL WOUNDS, FACE",110
"12001,PR","REPAIR SUPERFICIAL WOUNDS, TRUNK",292
"12001,UB","REPAIR SUPERFICIAL WOUNDS, TRUNK",121
"12002,PR","REPAIR SUPERFICIAL WOUNDS, TRUNK",339
"12002,UB","REPAIR SUPERFICIAL WOUNDS, TRUNK",99
"12041,PR","REPAIR, INTERMEDIATE, WOUNDS OF NECK, HANDS, FEET AND/OR GENITALIA",278
"12041,UB","REPAIR, INTERMEDIATE, WOUNDS OF NECK, HANDS, FEET AND/OR GENITALIA",409
"77293,26,PR",RESPIRATORY MOTION MANAGEMENT SIMULATION,232
"77293,TC,UB",RESPIRATORY MOTION MANAGEMENT SIMULATION,733
"93042,PR",RHYTHM ECG REPORT,24
"93041,UB",RHYTHM ECG TRACING,16
"71110,26,PR",RIBS BILATERAL THREE VIEWS,41
"71110,TC,UB",RIBS BILATERAL THREE VIEWS,75
"69210,50,PR",RMVL IMPACTED CE,174
"69210,50,UB",RMVL IMPACTED CE,104
"90680,UB",ROTAVIRUS VACROTAVIRUS VACCINCINE,127
"99173,PR",SCR TEST VISUAL,3
"99173,UB",SCR TEST VISUAL,18
"65430,PR","SCRAPING OF CORNEA, DIAGNOSTIC, FOR",127
"65430,UB","SCRAPING OF CORNEA, DIAGNOSTIC, FOR",183
"77063,26,PR","SCREENING DIGITAL BREAST TOMOSYNTHESIS, BILATERAL (LIST SEPARATELY IN ADDITION TO CODE FOR PRIMARY PROCEDURE)",83
"77063,TC,UB","SCREENING DIGITAL BREAST TOMOSYNTHESIS, BILATERAL (LIST SEPARATELY IN ADDITION TO CODE FOR PRIMARY PROCEDURE)",84
"92551,UB",SCREENING TEST P,25
"11305,PR",SHAV 1 LES SCALP,78
"11305,UB",SHAV 1 LES SCALP,111
"11306,PR",SHAV 1 LES SCALP,107
"11306,UB",SHAV 1 LES SCALP,156
"11300,51,PR",SHAV 1 LES TRNK,118
"11300,51,UB",SHAV 1 LES TRNK,68
"11300,PR",SHAV 1 LES TRNK,68
"11300,UB",SHAV 1 LES TRNK,118
"11303,PR",SHAV 1 LES TRNK,86
"11303,UB",SHAV 1 LES TRNK,272
"11310,PR","SHAVE LESION, FACE/LID/EAR/NOSE/LIP",165
"11310,UB","SHAVE LESION, FACE/LID/EAR/NOSE/LIP",66
"11311,PR","SHAVE LESION, FACE/LID/EAR/NOSE/LIP",244
"11311,UB","SHAVE LESION, FACE/LID/EAR/NOSE/LIP",50
"11307,PR","SHAVE LESION, SCALP/NECK/HAND/FOOT",126
"11307,UB","SHAVE LESION, SCALP/NECK/HAND/FOOT",185
"11301,PR","SHAVE SKIN LESION, TRUNK/ARM/LEG",196
"11301,UB","SHAVE SKIN LESION, TRUNK/ARM/LEG",59
"11302,PR","SHAVE SKIN LESION, TRUNK/ARM/LEG",201
"11302,UB","SHAVE SKIN LESION, TRUNK/ARM/LEG",104
"95925,26,PR",SHORT-LATENCY SOMATOSENSORY EVOKED POTENTIAL STUDY,81
"95925,TC,UB",SHORT-LATENCY SOMATOSENSORY EVOKED POTENTIAL STUDY,302
"20552,PR",SINGEL OR MULTIPLE TRIGGER POINT(S),45
"93282,26,PR",SINGLE LEAD IMPLANTABLE CARDIOVERTER-DEFIBRILLATOR,75
"93282,59,26,PR",SINGLE LEAD IMPLANTABLE CARDIOVERTER-DEFIBRILLATOR,75
"93282,59,TC,UB",SINGLE LEAD IMPLANTABLE CARDIOVERTER-DEFIBRILLATOR,128
"93282,GW,26,PR",SINGLE LEAD IMPLANTABLE CARDIOVERTER-DEFIBRILLATOR,75
"93282,GW,TC,UB",SINGLE LEAD IMPLANTABLE CARDIOVERTER-DEFIBRILLATOR,128
"93282,TC,UB",SINGLE LEAD IMPLANTABLE CARDIOVERTER-DEFIBRILLATOR,128
"20553,51,PR",SINGLE OR MULTI TRIGGER POINT 3 OR,67
"20553,51,UB",SINGLE OR MULTI TRIGGER POINT 3 OR,100
"20553,59,PR",SINGLE OR MULTI TRIGGER POINT 3 OR,67
"20553,59,UB",SINGLE OR MULTI TRIGGER POINT 3 OR,100
"20553,PR",SINGLE OR MULTI TRIGGER POINT 3 OR,67
"20553,UB",SINGLE OR MULTI TRIGGER POINT 3 OR,100
"20552,UB",SINGLE OR MULTIPLE TRIGGER POINT(S),217
"93279,26,PR",SINGLE PACEMAKER SYSTEM,59
"93279,TC,UB",SINGLE PACEMAKER SYSTEM,102
"95807,26,PR",SLEEP STDY RESP,242
"95807,TC,UB",SLEEP STDY RESP,1153
"99407,PR",SMOKING/TOBACCO USE CESSATION COUNSELING VST >10MI,30
"99407,UB",SMOKING/TOBACCO USE CESSATION COUNSELING VST >10MI,48
"99406,PR",SMOKING/TOBACCO USE CESSATION COUNSELING VST3-10MI,15
"99406,UB",SMOKING/TOBACCO USE CESSATION COUNSELING VST3-10MI,26
"72120,26,PR",SPINE LUMBAR BENDING ONLY,35
"72120,TC,UB",SPINE LUMBAR BENDING ONLY,107
"64510,PR",STELLATE GANGLION (CERVICAL S,151
"64510,UB",STELLATE GANGLION (CERVICAL S,233
"29580,50,PR",STRAPPING; UNNA,136
"29580,50,UB",STRAPPING; UNNA,148
"77031,26,PR",STRTCTC LOCLZJ G,243
"77031,TC,UB",STRTCTC LOCLZJ G,261
"90718,UB",TD IMMUNIZATION,28
"90714,UB",TD PRESERVATIVE FREE,40
"90715,UB",TDAP VACTDAP VACCINE 7 YCINE 7 Y,54
"93312,26,PR",TEE R-T IMG 2D W,342
"93312,TC,UB",TEE R-T IMG 2D W,586
"37609,PR",TEMPORAL ARTERY PROCEDURE,538
"37609,UB",TEMPORAL ARTERY PROCEDURE,315
"95857,PR",TENSILON TEST FOR MYASTHENIA GRAVIS,57
"95857,UB",TENSILON TEST FOR MYASTHENIA GRAVIS,73
"93261,26,PR",TERROGATE SUBQ DEFIB,64
"93261,TC,UB",TERROGATE SUBQ DEFIB,136
"95921,26,PR",TESTING OF AUTONOMIC NERVOUS SYSTEM,135
"95921,TC,UB",TESTING OF AUTONOMIC NERVOUS SYSTEM,88
"95924,26,PR",TESTING OF AUTONOMIC NERVOUS SYSTEM FUNCTION; COMBINED PARASYMPATHETIC AND SYMPATHETIC ADRENERGIC FUNCTION TESTING WITH AT LEAST 5 MINUTES OF PASSIVE TILT,99
"95924,TC,UB",TESTING OF AUTONOMIC NERVOUS SYSTEM FUNCTION; COMBINED PARASYMPATHETIC AND SYMPATHETIC ADRENERGIC FUNCTION TESTING WITH AT LEAST 5 MINUTES OF PASSIVE TILT,336
"90703,UB",TETANUS IMMUNIZATION,32
"96372,UB","THERAPEUTIC, PROPHYLACTIC, OR DIAGNOSTIC INJECTION",64
"G0437,PR","TOBACCO-USE COUNSELING VISIT FOR THE ASYMPTOMATIC PATIENT; INTERMEDIATE, GREATER THAN 10 MINUTES",30
"G0437,UB","TOBACCO-USE COUNSELING VISIT FOR THE ASYMPTOMATIC PATIENT; INTERMEDIATE, GREATER THAN 10 MINUTES",53
"G0436,PR","TOBACCO-USE COUNSELING VISIT FOR THE ASYMPTOMATIC PATIENT; INTERMEDIATE, GREATER THAN 3 MINUTES, UP TO 10 MINUTES",14
"G0436,UB","TOBACCO-USE COUNSELING VISIT FOR THE ASYMPTOMATIC PATIENT; INTERMEDIATE, GREATER THAN 3 MINUTES, UP TO 10 MINUTES",27
"97608,PR",TOTAL WOUND(S) SURFACE AREA GREATER THAN 50 SQUARE CENTIMETERS,279
"97608,UB",TOTAL WOUND(S) SURFACE AREA GREATER THAN 50 SQUARE CENTIMETERS,278
"99496,PR","TRANSITIONAL CARE MANAGEMENT SERVICES W/THE FOLLOWING REQ ELEMENTS: COMMUNICATION (DIRECT CONTACT, TELEPHONE, ELECTRONIC) W/PT AND/OR CAREGIVER W/IN 2 BUSINESS DAYS OF DISCHARGE MEDICAL DECISION MAKING OF HIGH COMPLEXITY DURING THE SERVICE PERIOD FACE-TO-FACE VISIT, W/IN 7 CALENDAR DAYS OF DISCHARGE",261
"99496,UB","TRANSITIONAL CARE MANAGEMENT SERVICES W/THE FOLLOWING REQ ELEMENTS: COMMUNICATION (DIRECT CONTACT, TELEPHONE, ELECTRONIC) W/PT AND/OR CAREGIVER W/IN 2 BUSINESS DAYS OF DISCHARGE MEDICAL DECISION MAKING OF HIGH COMPLEXITY DURING THE SERVICE PERIOD FACE-TO-FACE VISIT, W/IN 7 CALENDAR DAYS OF DISCHARGE",420
"99495,25,PR","TRANSITIONAL CARE MANAGEMENT SERVICES W/THE FOLLOWING REQ ELEMENTS: COMMUNICATION (DIRECT CONTACT, TELEPHONE, ELECTRONIC) W/PT AND/OR CAREGIVER W/IN2 BUSINESS DAYS OF DISCHARGE MEDICAL DECISION MAKING OF AT LEAST MODERATE COMPLEXITY DURING THE SERVICE PERIOD FACE-TO-FACE VISIT, W/14 CALENDAR DAYS OF DISCHARGE",185
"99495,25,UB","TRANSITIONAL CARE MANAGEMENT SERVICES W/THE FOLLOWING REQ ELEMENTS: COMMUNICATION (DIRECT CONTACT, TELEPHONE, ELECTRONIC) W/PT AND/OR CAREGIVER W/IN2 BUSINESS DAYS OF DISCHARGE MEDICAL DECISION MAKING OF AT LEAST MODERATE COMPLEXITY DURING THE SERVICE PERIOD FACE-TO-FACE VISIT, W/14 CALENDAR DAYS OF DISCHARGE",298
"99495,PR","TRANSITIONAL CARE MANAGEMENT SERVICES W/THE FOLLOWING REQ ELEMENTS: COMMUNICATION (DIRECT CONTACT, TELEPHONE, ELECTRONIC) W/PT AND/OR CAREGIVER W/IN2 BUSINESS DAYS OF DISCHARGE MEDICAL DECISION MAKING OF AT LEAST MODERATE COMPLEXITY DURING THE SERVICE PERIOD FACE-TO-FACE VISIT, W/14 CALENDAR DAYS OF DISCHARGE",185
"99495,UB","TRANSITIONAL CARE MANAGEMENT SERVICES W/THE FOLLOWING REQ ELEMENTS: COMMUNICATION (DIRECT CONTACT, TELEPHONE, ELECTRONIC) W/PT AND/OR CAREGIVER W/IN2 BUSINESS DAYS OF DISCHARGE MEDICAL DECISION MAKING OF AT LEAST MODERATE COMPLEXITY DURING THE SERVICE PERIOD FACE-TO-FACE VISIT, W/14 CALENDAR DAYS OF DISCHARGE",298
"55875,PR",TRANSPERI NEEDLE PLACE PROS,884
"55875,UB",TRANSPERI NEEDLE PLACE PROS,1478
"93293,26,PR",TRANSTELEPHONIC,63
"93293,GW,26,PR",TRANSTELEPHONIC,63
"93293,GW,TC,UB",TRANSTELEPHONIC,100
"93293,TC,UB",TRANSTELEPHONIC,100
"92980,LC,PR",TRNSCATH PLCMT I,959
"92980,LC,UB",TRNSCATH PLCMT I,1617
"92980,LD,PR",TRNSCATH PLCMT I,959
"92980,LD,UB",TRNSCATH PLCMT I,1617
"92980,PR",TRNSCATH PLCMT I,959
"92980,RC,PR",TRNSCATH PLCMT I,959
"92980,RC,UB",TRNSCATH PLCMT I,1617
"92980,UB",TRNSCATH PLCMT I,1617
"93308,26,PR",TTHRC R-T IMG 2D,119
"93308,TC,UB",TTHRC R-T IMG 2D,190
"96375,59,UB",TX/PRO/DX INJ NEW DRUG ADDON,66
"96375,UB",TX/PRO/DX INJ NEW DRUG ADDON,66
"92567,UB",TYMPANOMETRY,47
"90691,UB","TYPHOID VACCINE, VI CAPSULAR POLYSACCHARIDE, FOR I",186
"43235,PR",UGI ENDO; DX W/W,341
"43235,UB",UGI ENDO; DX W/W,494
"76705,26,PR",ULTRASOUND ABDOM,90
"76705,TC,UB",ULTRASOUND ABDOM,211
"76641,26,PR","ULTRASOUND, BREAST, UNILATERAL, REAL TIME WITH IMAGE DOCUMENTATION, INCLUDING AXILLA WHEN PERFORMED; COMPLETE",124
"76641,TC,UB","ULTRASOUND, BREAST, UNILATERAL, REAL TIME WITH IMAGE DOCUMENTATION, INCLUDING AXILLA WHEN PERFORMED; COMPLETE",196
"76641,26,50,PR","ULTRASOUND, BREAST, UNILATERAL, REAL TIME WITH IMAGE DOCUMENTATION, INCLUDING AXILLA WHEN PERFORMED; LIMITED",228
"76641,26,LT,PR","ULTRASOUND, BREAST, UNILATERAL, REAL TIME WITH IMAGE DOCUMENTATION, INCLUDING AXILLA WHEN PERFORMED; LIMITED",124
"76641,26,RT,PR","ULTRASOUND, BREAST, UNILATERAL, REAL TIME WITH IMAGE DOCUMENTATION, INCLUDING AXILLA WHEN PERFORMED; LIMITED",124
"76641,50,TC,UB","ULTRASOUND, BREAST, UNILATERAL, REAL TIME WITH IMAGE DOCUMENTATION, INCLUDING AXILLA WHEN PERFORMED; LIMITED",392
"76641,LT,TC,UB","ULTRASOUND, BREAST, UNILATERAL, REAL TIME WITH IMAGE DOCUMENTATION, INCLUDING AXILLA WHEN PERFORMED; LIMITED",196
"76641,RT,TC,UB","ULTRASOUND, BREAST, UNILATERAL, REAL TIME WITH IMAGE DOCUMENTATION, INCLUDING AXILLA WHEN PERFORMED; LIMITED",196
"76642,26,50,PR","ULTRASOUND, BREAST, UNILATERAL, REAL TIME WITH IMAGE DOCUMENTATION, INCLUDING AXILLA WHEN PERFORMED; LIMITED",204
"76642,26,LT,PR","ULTRASOUND, BREAST, UNILATERAL, REAL TIME WITH IMAGE DOCUMENTATION, INCLUDING AXILLA WHEN PERFORMED; LIMITED",102
"76642,26,PR","ULTRASOUND, BREAST, UNILATERAL, REAL TIME WITH IMAGE DOCUMENTATION, INCLUDING AXILLA WHEN PERFORMED; LIMITED",102
"76642,26,RT,PR","ULTRASOUND, BREAST, UNILATERAL, REAL TIME WITH IMAGE DOCUMENTATION, INCLUDING AXILLA WHEN PERFORMED; LIMITED",102
"76642,50,TC,UB","ULTRASOUND, BREAST, UNILATERAL, REAL TIME WITH IMAGE DOCUMENTATION, INCLUDING AXILLA WHEN PERFORMED; LIMITED",322
"76642,LT,TC,UB","ULTRASOUND, BREAST, UNILATERAL, REAL TIME WITH IMAGE DOCUMENTATION, INCLUDING AXILLA WHEN PERFORMED; LIMITED",161
"76642,RT,TC,UB","ULTRASOUND, BREAST, UNILATERAL, REAL TIME WITH IMAGE DOCUMENTATION, INCLUDING AXILLA WHEN PERFORMED; LIMITED",161
"76642,TC,UB","ULTRASOUND, BREAST, UNILATERAL, REAL TIME WITH IMAGE DOCUMENTATION, INCLUDING AXILLA WHEN PERFORMED; LIMITED",161
"76815,26,PR","ULTRASOUND, PREGNANT UTERUS, REAL",97
"76815,TC,UB","ULTRASOUND, PREGNANT UTERUS, REAL",165
"76817,26,PR","ULTRASOUND, PREGNANT UTERUS, REAL",113
"76817,TC,UB","ULTRASOUND, PREGNANT UTERUS, REAL",182
"76645,26,PR",US BREAST R-T W/,83
"76645,TC,UB",US BREAST R-T W/,182
"76775,26,PR",US EXAM ABDO BACK WALL LIM,84
"76775,TC,UB",US EXAM ABDO BACK WALL LIM,246
"76870,26,PR",US EXAM SCROTUM,98
"76870,TC,UB",US EXAM SCROTUM,249
"76881,26,PR",US EXT NONVAS COMPLT,68
"76881,TC,UB",US EXT NONVAS COMPLT,205
"76882,26,PR",US EXT NONVAS LIMITED,47
"76882,TC,UB",US EXT NONVAS LIMITED,24
"76942,26,PR",US GUID NDLE PLC,103
"76942,59,26,PR",US GUID NDLE PLC,103
"76942,59,TC,UB",US GUID NDLE PLC,440
"76942,TC,UB",US GUID NDLE PLC,440
"73536,TC,UB",US SOFT TISS HEA,241
"76536,26,PR",US SOFT TISS HEA,84
"76536,TC,UB",US SOFT TISS HEA,241
"76872,26,PR",US TRANSRECTAL,108
"76872,59,26,PR",US TRANSRECTAL,108
"76872,59,TC,UB",US TRANSRECTAL,284
"76872,TC,UB",US TRANSRECTAL,284
"90716,UB",VARICELLA VIRUS,120
"95930,26,PR",VISUAL EVOKED POTENTIAL (VEP) TESTING CENTRAL NERV,54
"95930,TC,UB",VISUAL EVOKED POTENTIAL (VEP) TESTING CENTRAL NERV,281
"94150,UB",VITAL CAPACITY TEST PEAK FLOW,40
"93272,59,PR",WEARABLE PATIENT,81
"93272,PR",WEARABLE PATIENT,81
"52005,PR",WITH URETERAL CATHETERIZATION,328
"52005,UB",WITH URETERAL CATHETERIZATION,530
"93270,59,UB",WR PT ACTIVATED,50
"93270,UB",WR PT ACTIVATED,50
"93271,59,UB",WR PT ACTIVATED,599
"93271,UB",WR PT ACTIVATED,599
"70160,26,PR",X-RAY EX NASAL BONES,26
"70160,PR",X-RAY EX NASAL BONES,26
"70160,TC,UB",X-RAY EX NASAL BONES,67
"70160,UB",X-RAY EX NASAL BONES,67
"72052,26,PR",X-RAY EXAM OF NECK SPINE,56
"72072,26,PR","X-RAY, THORACIC SPINE; 3 VIEWS",34
"72072,TC,UB","X-RAY, THORACIC SPINE; 3 VIEWS",75
"72074,26,PR","X-RAY, THORACIC SPINE; 3 VIEWS",34
"72074,TC,UB","X-RAY, THORACIC SPINE; 3 VIEWS",94
"90750,UB","ZOSTER (SHINGLES) VACCINE (HZV), RECOMBINANT, SUBUNIT, ADJUVANTED, FOR INTRAMUSCULAR USE",205
"90736,UB",ZOSTER SHINGLES,229
