"PROC #","Procedure Description","IP Price","OP Price"
1394,"RABIES VACCINE,HUMAN DIPLOID (PF) 2.5 UNIT INTRAMUSCULAR SOLUTION",670,670,*
1395,DRONEDARONE 400 MG TABLET,15,15,*
1396,TERCONAZOLE 0.4 % VAGINAL CREAM,319,319,*
1397,TETRACAINE HCL (PF) 1 % (10 MG/ML) INJECTION SOLUTION,338,338,*
1398,"LEVETIRACETAM 1,000 MG/100 ML IN SODIUM CHLORIDE(ISO-OSM) IV PIGGYBACK",336,336,*
1399,TIMOLOL MALEATE 0.25 % EYE DROPS,33,33,*
1400,TIMOLOL MALEATE 0.5 % EYE DROPS,255,255,*
1401,URSODIOL 300 MG CAPSULE,8,8,*
1402,VECURONIUM BROMIDE 10 MG INTRAVENOUS SOLUTION,91,91,*
1403,WARFARIN 1 MG TABLET,3,3,*
1404,MECLIZINE 12.5 MG TABLET,3,3,*
1405,MECLIZINE 25 MG TABLET,3,3,*
1406,SACUBITRIL 49 MG-VALSARTAN 51 MG TABLET,12,12,*
1407,HYDROXYUREA (SICKLE CELL) 200 MG CAPSULE,3,3,*
1408,IPRATROPIUM BROMIDE 0.02 % SOLUTION FOR INHALATION,5,5,*
1409,"VERAPAMIL ER (SR) 240 MG TABLET,EXTENDED RELEASE",3,3,*
1410,LISINOPRIL 2.5 MG TABLET,3,3,*
1411,"VERAPAMIL ER (SR) 120 MG TABLET,EXTENDED RELEASE",3,3,*
1412,PROMETHAZINE 6.25 MG/50 ML NS IVPB,12,12,*
1413,PROMETHAZINE 12.5 MG/50 ML NS IVPB,22,22,*
1414,"BISACODYL 5 MG TABLET,DELAYED RELEASE",3,3,*
1415,"ASPIRIN 325 MG TABLET,DELAYED RELEASE",3,3,*
1416,PROPOFOL 10 MG/ML IV EMUL 20 ML(FOR ANESTH USE ONLY),31,31,*
1417,"ASPIRIN 81 MG TABLET,DELAYED RELEASE",3,3,*
1418,SWFI DILUENT FOR ALTEPLASE,0,0,*
1419,"VERAPAMIL ER (SR) 180 MG TABLET,EXTENDED RELEASE",3,3,*
1420,TRAMADOL 50 MG TABLET,3,3,*
1421,CYANOCOBALAMIN (VIT B-12) 500 MCG TABLET,3,3,*
1422,METFORMIN 850 MG TABLET,3,3,*
1423,GLYBURIDE MICRONIZED 3 MG TABLET,3,3,*
1424,TIZANIDINE 4 MG TABLET,3,3,*
1425,"DOPAMINE 800 MG/500 ML (1,600 MCG/ML) IN 5 % DEXTROSE INTRAVENOUS SOLN",246,246,*
1426,POTASSIUM CHLORIDE 20 MEQ/L IN D5-0.9 % SODIUM CHLORIDE INTRAVENOUS,20,20,*
1427,POTASSIUM CHLORIDE 10 MEQ/L IN DEXTROSE 5 %-0.45 % SODIUM CHLORIDE IV,16,16,*
1428,POTASSIUM CHLORIDE 20 MEQ/L IN DEXTROSE 5 %-0.2 % SODIUM CHLORIDE IV,15,15,*
1429,POTASSIUM CHLORIDE 20 MEQ/L IN DEXTROSE 5 %-0.45 % SODIUM CHLORIDE IV,15,15,*
1430,"TRANEXAMIC ACID 1,000 MG/10 ML (100 MG/ML) INTRAVENOUS SOLUTION",260,260,*
1431,"THROMBIN (BOVINE) 5,000 UNIT TOPICAL SOLUTION",529,529,*
1432,EPINEPHRINE HCL (PF) 1 MG/ML (1 ML) INJECTION SOLUTION,123,123,*
1433,GLYCERIN (ADULT) RECTAL SUPPOSITORY,3,3,*
1434,DEXTROMETHORPHAN-GUAIFENESIN 30 MG-600 MG TABLET EXTENDED RELEASE12 HR,3,3,*
1435,WARFARIN  0.5 MG PO TAB,3,3,*
1436,"DICLOFENAC SODIUM 25 MG TABLET,DELAYED RELEASE",3,3,*
1437,SULFASALAZINE 500 MG TABLET,3,3,*
1438,SODIUM CITRATE-CITRIC ACID 500 MG-334 MG/5 ML ORAL SOLUTION,3,3,*
1439,AZITHROMYCIN 200 MG/5 ML ORAL SUSPENSION,1,1,*
1440,DEXTROMETHORPHAN-GUAIFENESIN 10 MG-100 MG/5 ML SYRUP,3,3,*
1441,INSULIN LISPRO BOLUS FROM PATIENT'S OWN SQ PUMP(100 UNITS/ML),0,0,*
1442,NITROGLYCERIN 25 MG/250 ML (100 MCG/ML) IN 5 % DEXTROSE  INTRAVENOUS,113,113,*
1443,DEXTROSE 5 % AND 0.45 % SODIUM CHLORIDE INTRAVENOUS SOLUTION,43,43,*
1444,DEXTROSE 5 % AND 0.2 % SODIUM CHLORIDE INTRAVENOUS SOLUTION,43,43,*
1445,DEXTROSE 5% AND 0.3 % SODIUM CHLORIDE INTRAVENOUS SOLUTION,28,28,*
1446,DEXTROSE 5 % AND 0.9 % SODIUM CHLORIDE INTRAVENOUS SOLUTION,42,42,*
1447,MORPHINE 4 MG/ML INTRAVENOUS SOLUTION,14,14,*
1448,PENICILLIN G 5 MILLION UNITS/D5W 100 ML (LOADABLE MIXTURE),126,126,*
1449,"DOBUTAMINE 500 MG/250 ML (2,000 MCG/ML) IN 5 % DEXTROSE IV",153,153,*
1450,DOBUTAMINE 250 MG/250 ML (1 MG/ML) IN 5 % DEXTROSE INTRAVENOUS,75,75,*
1451,"LIDOCAINE 1 %-EPINEPHRINE 1:100,000 INJECTION SOLUTION",39,39,*
1452,POTASSIUM CHLORIDE 20 MEQ/L-LACTATED RINGERS-5 % DEXTROSE INTRAVENOUS,20,20,*
1453,GLIMEPIRIDE 2 MG TABLET,3,3,*
1454,GLIMEPIRIDE 4 MG TABLET,3,3,*
1455,POTASSIUM CHLORIDE 20 MEQ/L IN 0.9 % SODIUM CHLORIDE INTRAVENOUS,19,19,*
1456,POTASSIUM CHLORIDE 40 MEQ/L IN 0.9 % SODIUM CHLORIDE INTRAVENOUS,19,19,*
1457,PAROXETINE 10 MG TABLET,3,3,*
1458,RANITIDINE 75 MG TABLET,3,3,*
1459,LIDOCAINE 4 % TOPICAL CREAM,46,46,*
1460,HYOSCYAMINE 0.125 MG SUBLINGUAL TABLET,3,3,*
1461,SELEGILINE 5 MG CAPSULE,3,3,*
1462,BUSPIRONE 10 MG TABLET,3,3,*
1463,MIRTAZAPINE 15 MG TABLET,3,3,*
1464,BISOPROLOL FUMARATE 5 MG TABLET,3,3,*
1465,BISOPROLOL 10 MG-HYDROCHLOROTHIAZIDE 6.25 MG TABLET,3,3,*
1466,BISOPROLOL 5 MG-HYDROCHLOROTHIAZIDE 6.25 MG TABLET,3,3,*
1467,BISOPROLOL 2.5 MG-HYDROCHLOROTHIAZIDE 6.25 MG TABLET,3,3,*
1468,TORSEMIDE 20 MG TABLET,3,3,*
1469,TORSEMIDE 5 MG TABLET,3,3,*
1470,GABAPENTIN 400 MG CAPSULE,3,3,*
1471,GABAPENTIN 300 MG CAPSULE,3,3,*
1472,GABAPENTIN 100 MG CAPSULE,3,3,*
1473,"BUPROPION HCL SR 150 MG TABLET,12 HR SUSTAINED-RELEASE",3,3,*
1474,PNEUMOCOCCAL 13-VAL CONJ VACCINE-DIP CRM (PF) 0.5 ML IM SYRINGE,692,692,*
1475,WARFARIN 3 MG TABLET,3,3,*
1476,WARFARIN 6 MG TABLET,3,3,*
1477,"NEOMYCIN-POLYMYXIN-DEXAMETH 3.5 MG/ML-10,000 UNIT/ML-0.1% EYE DROPS",206,206,*
1478,"NEOMYCIN 3.5 MG/G-POLYMYXIN B 10,000 UNIT/G-DEXAMETH 0.1 % EYE OINT",255,255,*
1479,PRASUGREL 10 MG TABLET,22,22,*
1480,DEFEROXAMINE 500 MG SOLUTION FOR INJECTION,106,106,*
1481,OFLOXACIN 0.3 % EYE DROPS,14,14,*
1482,MIDAZOLAM (PF) 5 MG/ML INJECTION SOLUTION,15,15,*
1483,SODIUM CHLORIDE 1 GRAM TABLET,3,3,*
1484,ETOMIDATE 2 MG/ML INTRAVENOUS SOLUTION,75,75,*
1485,MELOXICAM 7.5 MG TABLET,3,3,*
1486,KIT PREPARATION OF TC-99M-SODIUM PYROPHOSPHATE 12 MG IV SOLUTION,900,900,*
1487,VALPROATE SODIUM 500 MG/5 ML (100 MG/ML) INTRAVENOUS SOLUTION,35,35,*
1488,"MORPHINE ER 15 MG TABLET,EXTENDED RELEASE",5,5,*
1489,"MORPHINE ER 30 MG TABLET,EXTENDED RELEASE",7,7,*
1490,AZITHROMYCIN 250 MG TABLET,3,3,*
1491,CITALOPRAM 20 MG TABLET,3,3,*
1492,"ACETAMINOPHEN 1,000 MG/100 ML (10 MG/ML) INTRAVENOUS SOLUTION",321,321,*
1493,"PENTOXIFYLLINE ER 400 MG TABLET,EXTENDED RELEASE",3,3,*
1494,WARFARIN 4 MG TABLET,3,3,*
1495,LIDOCAINE (PF) 100 MG/5 ML (2 %) INTRAVENOUS SYRINGE,35,35,*
1496,FEXOFENADINE 60 MG TABLET,3,3,*
1497,TERBINAFINE HCL 250 MG TABLET,3,3,*
1498,KETOROLAC 15 MG/ML INJECTION SOLUTION,12,12,*
1499,KETOROLAC 30 MG/ML (1 ML) INJECTION SOLUTION,10,10,*
1500,SULFAMETHOXAZOLE 200 MG-TRIMETHOPRIM 40 MG/5 ML ORAL SUSPENSION,7,7,*
1501,AMOXICILLIN 250 MG-POTASSIUM CLAVULANATE 125 MG TABLET,7,7,*
1502,ACYCLOVIR SODIUM 50 MG/ML INTRAVENOUS SOLUTION,72,72,*
1503,"ANTIVENIN LATRODECTUS MACTANS 6,000 UNIT SOLUTION FOR INJECTION",365,365,*
1504,"ISOSORBIDE MONONITRATE ER 60 MG TABLET,EXTENDED RELEASE 24 HR",3,3,*
1505,CILOSTAZOL 50 MG TABLET,3,3,*
1506,"ISOSORBIDE MONONITRATE ER 30 MG TABLET,EXTENDED RELEASE 24 HR",3,3,*
1507,TIMOLOL MALEATE 0.25 % EYE GEL FORMING SOLUTION,766,766,*
1508,TIMOLOL MALEATE 0.5 % EYE GEL FORMING SOLUTION,473,473,*
1509,CIPROFLOXACIN 250 MG TABLET,3,3,*
1510,CIPROFLOXACIN 500 MG TABLET,3,3,*
1511,OCTREOTIDE ACETATE 100 MCG/ML INJECTION SOLUTION,12,12,*
1512,NAFCILLIN 1 GRAM SOLUTION FOR INJECTION,90,90,*
1513,HETASTARCH 6 % IN 0.9 % SODIUM CHLORIDE INTRAVENOUS SOLUTION,173,173,*
1514,AMOXICILLIN 400 MG/5 ML ORAL SUSPENSION,3,3,*
1515,CEFAZOLIN 1 G/50 ML NS (LOADABLE MIXTURE),63,63,*
1516,POLYETHYLENE GLYCOL 3350 17 GRAM ORAL POWDER PACKET,3,3,*
1517,INSULIN ASPART U-100  100 UNIT/ML SUBCUTANEOUS SOLUTION,1,1,*
1518,LEVONORGESTREL 20 MCG/24 HR (5 YEARS) INTRAUTERINE DEVICE,"3,691","3,691",*
1519,NAFCILLIN 2 GRAM INTRAVENOUS SOLUTION,345,345,*
1520,NITROGLYCERIN 0.1 MG/HR TRANSDERMAL 24 HOUR PATCH,3,3,*
1521,NITROGLYCERIN 0.2 MG/HR TRANSDERMAL 24 HOUR PATCH,3,3,*
1522,NITROGLYCERIN 0.4 MG/HR TRANSDERMAL 24 HOUR PATCH,3,3,*
1523,NITROGLYCERIN 0.6 MG/HR TRANSDERMAL 24 HOUR PATCH,3,3,*
1524,"FELODIPINE ER 5 MG TABLET,EXTENDED RELEASE 24 HR",3,3,*
1525,ZONISAMIDE 100 MG CAPSULE,3,3,*
1526,SODIUM CHLORIDE 0.9 % INTRAVENOUS SOLUTION,17,17,*
1527,NICOTINE 7 MG/24 HR DAILY TRANSDERMAL PATCH,4,4,*
1528,NICOTINE 14 MG/24 HR DAILY TRANSDERMAL PATCH,3,3,*
1529,NICOTINE 21 MG/24 HR DAILY TRANSDERMAL PATCH,3,3,*
1530,FENTANYL 25 MCG/HR TRANSDERMAL PATCH,40,40,*
1531,FENTANYL 50 MCG/HR TRANSDERMAL PATCH,64,64,*
1532,FENTANYL 75 MCG/HR TRANSDERMAL PATCH,118,118,*
1533,FENTANYL 100 MCG/HR TRANSDERMAL PATCH,146,146,*
1534,"OXYCODONE ER 10 MG TABLET,CRUSH RESISTANT,EXTENDED RELEASE 12 HR",36,36,*
1535,"OXYCODONE ER 20 MG TABLET,CRUSH RESISTANT,EXTENDED RELEASE 12 HR",66,66,*
1536,"OXYCODONE ER 40 MG TABLET,CRUSH RESISTANT,EXTENDED RELEASE 12 HR",113,113,*
1537,POLYVINYL ALCOHOL 1.4 % EYE DROPS,5,5,*
1538,SODIUM POLYSTYRENE SULFONATE 15 GRAM/60 ML ORAL SUSPENSION,12,12,*
1539,"CARBIDOPA ER 25 MG-LEVODOPA 100 MG TABLET,EXTENDED RELEASE",3,3,*
1540,THYROID (PORK) 30 MG TABLET,3,3,*
1541,"WATER FOR INJECTION, STERILE INTRAVENOUS SOLUTION",1,1,*
1542,ESTRADIOL 0.05 MG/24 HR WEEKLY TRANSDERMAL PATCH,21,21,*
1543,ESTRADIOL 0.1 MG/24 HR WEEKLY TRANSDERMAL PATCH,21,21,*
1544,"NIFEDIPINE ER 30 MG TABLET,EXTENDED RELEASE 24 HR",3,3,*
1545,BUDESONIDE-FORMOTEROL HFA 160 MCG-4.5 MCG/ACTUATION AEROSOL INHALER,268,268,*
1546,WHITE PETROLATUM TOPICAL OINTMENT IN PACKET,3,3,*
1547,"NEOMYCIN-POLYMYXIN-HYDROCORT 3.5 MG-10,000 UNIT/ML-1 % EAR DROPS,SUSP",36,36,*
1548,HYDROCORTISONE 2.5 % TOPICAL CREAM WITH PERINEAL APPLICATOR,51,51,*
1549,"METFORMIN ER 500 MG TABLET,EXTENDED RELEASE 24 HR",3,3,*
1550,"DILTIAZEM CD 120 MG CAPSULE,EXTENDED RELEASE 24 HR",3,3,*
1551,"DILTIAZEM CD 180 MG CAPSULE,EXTENDED RELEASE 24 HR",3,3,*
1552,"DILTIAZEM CD 240 MG CAPSULE,EXTENDED RELEASE 24 HR",3,3,*
1553,"DILTIAZEM CD 300 MG CAPSULE,EXTENDED RELEASE 24 HR",3,3,*
1554,PREDNISOLONE SODIUM PHOSPHATE 15 MG/5 ML (3 MG/ML) ORAL SOLUTION,6,6,*
1555,CLOTRIMAZOLE-BETAMETHASONE 1 %-0.05 % TOPICAL CREAM,29,29,*
1556,SODIUM CHLORIDE 0.65 % NASAL SPRAY AEROSOL,3,3,*
1557,GOLIMUMAB 12.5 MG/ML INTRAVENOUS SOLUTION,"6,260","6,260",*
1558,SUGAMMADEX 100 MG/ML INTRAVENOUS SOLUTION,887,887,*
1559,AMPICILLIN-SULBACTAM 1.5 GRAM SOLUTION FOR INJECTION,25,25,*
1560,MILRINONE 20 MG/100 ML(200 MCG/ML) IN 5 % DEXTROSE INTRAVENOUS PIGGYBK,209,209,*
1561,AMOXICILLIN 500 MG-POTASSIUM CLAVULANATE 125 MG TABLET,3,3,*
1562,AMOXICILLIN 875 MG-POTASSIUM CLAVULANATE 125 MG TABLET,3,3,*
1563,AMOXICILLIN 400 MG-POTASSIUM CLAVULANATE 57 MG/5 ML ORAL SUSPENSION,1,1,*
1564,HYDROCODONE 5 MG-ACETAMINOPHEN 325 MG TABLET,5,5,*
1565,"NEOMYCIN 3.5 MG-POLYMYXIN 10,000 UNIT-HYDROCORT 10 MG/ML EYE DROP,SUSP",956,956,*
1566,TRANEXAMIC ACID 2 G IN NS 100 ML (LOADABLE MIXTURE),298,298,*
1567,POTASSIUM CHLORIDE 20 MEQ/L IN 0.45 % SODIUM CHLORIDE INTRAVENOUS SOLN,24,24,*
1568,"THEOPHYLLINE ER 400 MG TABLET,EXTENDED RELEASE 24 HR",11,11,*
1569,"GLIPIZIDE ER 2.5 MG TABLET, EXTENDED RELEASE 24 HR",3,3,*
1570,"GLIPIZIDE ER 5 MG TABLET, EXTENDED RELEASE 24 HR",3,3,*
1571,"GLIPIZIDE ER 10 MG TABLET, EXTENDED RELEASE 24 HR",3,3,*
1572,CYANOCOBALAMIN (VIT B-12) 100 MCG TABLET,3,3,*
1573,"GUAIFENESIN ER 600 MG TABLET, EXTENDED RELEASE 12 HR",3,3,*
1574,"PROPRANOLOL ER 60 MG CAPSULE,24 HR,EXTENDED RELEASE",3,3,*
1575,"PROPRANOLOL ER 80 MG CAPSULE,24 HR,EXTENDED RELEASE",4,4,*
1576,LACTULOSE 10 GRAM/15 ML ORAL SOLUTION,6,6,*
1577,FERROUS SULFATE 15 MG IRON (75 MG)/ML ORAL DROPS,1,1,*
1578,ALUMINUM-MAG HYDROXIDE-SIMETHICONE 200 MG-200 MG-20 MG/5 ML ORAL SUSP,3,3,*
1579,"NEOMYCIN-BACITRACIN-POLYMYXN 3.5 MG-400 UNIT-10,000 UNIT/GRAM EYE OINT",130,130,*
1580,"NYSTATIN 100,000 UNIT/GRAM TOPICAL POWDER",14,14,*
1581,ALBUTEROL SULFATE HFA 90 MCG/ACTUATION AEROSOL INHALER,37,37,*
1582,SENNOSIDES 8.6 MG-DOCUSATE SODIUM 50 MG TABLET,3,3,*
1583,"DIPHTH,PERTUS(ACEL)TETANUS(PF)2LF-(2.5-5-3-5MCG)-5 LF/0.5 ML IM SUSP",193,193,*
1584,"FLUTICASONE 50 MCG/ACTUATION NASAL SPRAY,SUSPENSION",12,12,*
1585,ERYTHROMYCIN LACTOBIONATE 500 MG INTRAVENOUS SOLUTION,584,584,*
1586,RANITIDINE 15 MG/ML SYRUP,5,5,*
1587,LOSARTAN 50 MG TABLET,3,3,*
1588,QUETIAPINE 25 MG TABLET,3,3,*
1589,OLANZAPINE 5 MG DISINTEGRATING TABLET,3,3,*
1590,"TOLTERODINE ER 2 MG CAPSULE,EXTENDED RELEASE 24 HR",7,7,*
1591,SODIUM PHOSPHATE 3 MMOL/ML INTRAVENOUS SOLUTION,112,112,*
1592,AZTREONAM 1 GRAM/50 ML IN DEXTROSE (ISO-OSMOTIC) INTRAVENOUS PIGGYBACK,396,396,*
1593,PRAMIPEXOLE 1 MG TABLET,3,3,*
1594,DAPSONE 25 MG TABLET,3,3,*
1595,RIVASTIGMINE 1.5 MG CAPSULE,3,3,*
1596,LATANOPROST 0.005 % EYE DROPS,78,78,*
1597,TRACE ELEMENTS CR-CU-MN-ZN 4 MCG-0.4 MG-0.1 MG-1 MG/ML IV SOLUTION,93,93,*
1598,PIOGLITAZONE 15 MG TABLET,3,3,*
1599,EPTIFIBATIDE 2 MG/ML INTRAVENOUS SOLUTION,932,932,*
1600,TUBERCULIN PPD 5 TUB. UNIT/0.1 ML INTRADERMAL INJECTION SOLUTION,49,49,*
1601,ANASTROZOLE 1 MG TABLET,3,3,*
1602,"MESALAMINE CR 250 MG CAPSULE,CONTROLLED RELEASE",3,3,*
1603,BICALUTAMIDE 50 MG TABLET,3,3,*
1604,BREEZA FOR NEUTRAL ABDOMINAL/PELVIC IMAGING 500 ML BOTTLE,98,98,*
1605,"ASPIRIN 25 MG-DIPYRIDAMOLE 200 MG CAPSULE,EXT.RELEASE 12 HR MULTIPHASE",12,12,*
1606,"VENLAFAXINE ER 37.5 MG CAPSULE,EXTENDED RELEASE 24 HR",3,3,*
1607,EPINEPHRINE 1 MG/ML NASAL SOLUTION,33,33,*
1608,CARVEDILOL 6.25 MG TABLET,3,3,*
1609,"VENLAFAXINE ER 75 MG CAPSULE,EXTENDED RELEASE 24 HR",3,3,*
1610,ATORVASTATIN 20 MG TABLET,3,3,*
1611,TRIAMCINOLONE ACETONIDE 0.1 % LOTION,59,59,*
1612,CARVEDILOL 12.5 MG TABLET,3,3,*
1613,ROPINIROLE 1 MG TABLET,3,3,*
1614,LIDOCAINE (PF) 40 MG/ML (4 %) INJECTION SOLUTION,48,48,*
1615,DONEPEZIL 5 MG TABLET,3,3,*
1616,CEFEPIME 1 GRAM SOLUTION FOR INJECTION,63,63,*
1617,CLONIDINE 0.1 MG/24 HR WEEKLY TRANSDERMAL PATCH,32,32,*
1618,VODKA,0,0,*
1619,"DIVALPROEX 250 MG TABLET,DELAYED RELEASE",3,3,*
1620,IPRATROPIUM-ALBUTEROL 0.5 MG-3 MG(2.5 MG BASE)/3 ML NEBULIZATION SOLN,5,5,*
1621,PHYTONADIONE (VITAMIN K1) 10 MG/ML INJECTION SOLUTION,339,339,*
1622,CETIRIZINE 10 MG TABLET,3,3,*
1623,ATORVASTATIN 10 MG TABLET,3,3,*
1624,DANTROLENE 20 MG INTRAVENOUS SOLUTION,648,648,*
1625,CLONIDINE 0.2 MG/24 HR WEEKLY TRANSDERMAL PATCH,55,55,*
1626,TBO-FILGRASTIM 480 MCG/0.8 ML SUBCUTANEOUS SYRINGE,"2,538.50","2,538.50",*
1627,BENZTROPINE 1 MG TABLET,3,3,*
1628,"METOPROLOL SUCCINATE ER 50 MG TABLET,EXTENDED RELEASE 24 HR",3,3,*
1629,TENECTEPLASE 50 MG INTRAVENOUS KIT,"21,356","21,356",*
1630,AMOXICILLIN 250 MG-POTASSIUM CLAVULANATE 62.5 MG/5 ML ORAL SUSPENSION,1,1,*
1631,MICROFIBRILLAR COLLAGEN HEMOSTAT POWDER,"2,047","2,047",*
1632,"TOLTERODINE ER 4 MG CAPSULE,EXTENDED RELEASE 24 HR",12,12,*
1633,IMIPENEM-CILASTATIN 500 MG INTRAVENOUS SOLUTION,135,135,*
1634,"EPINEPHRINE 0.15 MG/0.3 ML INJECTION,AUTO-INJECTOR",551,551,*
1635,"BUDESONIDE DR - ER 3 MG CAPSULE,DELAYED,EXTENDED RELEASE",20,20,*
1636,"CARBAMAZEPINE ER 100 MG TABLET,EXTENDED RELEASE,12 HR",3,3,*
1637,CEFEPIME 2 GRAM SOLUTION FOR INJECTION,124,124,*
1638,VENLAFAXINE 25 MG TABLET,3,3,*
1639,SUMATRIPTAN 25 MG TABLET,3,3,*
1640,RADIOPAQUE PVC MARKERS-BARIUM SULFATE 24 MARKERS CAPSULE,"1,221","1,221",*
1641,RIFAXIMIN 550 MG TABLET,53,53,*
1642,NITROGLYCERIN 0.3 MG/HR TRANSDERMAL 24 HOUR PATCH,10,10,*
1643,"ESMOLOL 2,500 MG/250 ML (10 MG/ML) IN SODIUM CHLORIDE (ISO-OSMOTIC) IV","1,511.50","1,511.50",*
1644,CIPROFLOXACIN 400 MG/200 ML IN 5 % DEXTROSE INTRAVENOUS PIGGYBACK,29,29,*
1645,METOPROLOL TARTRATE 25 MG TABLET,3,3,*
1646,PSYLLIUM HUSK (ASPARTAME) 3.4 GRAM ORAL POWDER PACKET,3,3,*
1647,OLANZAPINE 5 MG TABLET,3,3,*
1648,DRONABINOL 2.5 MG CAPSULE,58,58,*
1649,LEVONORGESTREL 1.5 MG TABLET,39,39,*
1650,GALANTAMINE 4 MG TABLET,3,3,*
1651,ACARBOSE 50 MG TABLET,3,3,*
1652,BUTAMBEN-TETRACAINE-BENZOCAINE 2 %-2 %-14 % (200 MG/SEC) TOPICAL SPRAY,15,15,*
1653,ROFLUMILAST 500 MCG TABLET,12,12,*
1654,"POTASSIUM, SODIUM PHOSPHATES 280 MG-160 MG-250 MG ORAL POWDER PACKET",3,3,*
1655,"DOPAMINE 400 MG/250 ML (1,600 MCG/ML) IN 5 % DEXTROSE INTRAVENOUS SOLN",101,101,*
1656,DOXYLAMINE SUCCINATE 25 MG TABLET,3,3,*
1657,VALSARTAN 80 MG TABLET,3,3,*
1658,NALOXONE 0.4 MG/10 ML FOR NON-RESP ARREST OPIOID REVERSAL,"1,200.50","1,200.50",*
1659,TOBRAMYCIN-DEXAMETHASONE 0.3 %-0.1 % EYE OINTMENT,"1,363","1,363",*
1660,TOPIRAMATE 25 MG TABLET,3,3,*
1661,COSYNTROPIN 0.25 MG SOLUTION FOR INJECTION,"1,547","1,547",*
1662,ROCURONIUM 10 MG/ML INTRAVENOUS SOLUTION,44,44,*
1663,ROPIVACAINE (PF) 5 MG/ML (0.5 %) INJECTION SOLUTION,90,90,*
1664,RISPERIDONE 0.25 MG TABLET,3,3,*
1665,"ERYTHROMYCIN 250 MG TABLET,DELAYED RELEASE",11,11,*
1666,VANCOMYCIN 1.5 GRAM/250 ML IN 0.9 % SODIUM CHLORIDE INTRAVENOUS,176,176,*
1667,AMLODIPINE 2.5 MG TABLET,3,3,*
1668,MORPHINE 4 MG/ML INJECTION SYRINGE,20,20,*
1669,FILGRASTIM 300 MCG/ML INJECTION SOLUTION,"2,097","2,097",*
1670,PHENYTOIN SODIUM EXTENDED 100 MG CAPSULE,3,3,*
1671,PHENYTOIN 50 MG CHEWABLE TABLET,3,3,*
1672,CLOPIDOGREL 75 MG TABLET,3,3,*
1673,GELATIN ABSORBABLE 100 TOPICAL SPONGE,267,267,*
1674,CEFTRIAXONE 1 GRAM/50 ML IN DEXTROSE (ISO-OSMOT) INTRAVENOUS PIGGYBACK,161,161,*
1675,AMLODIPINE 5 MG TABLET,3,3,*
1676,PIPERACILLIN-TAZOBACTAM 3.375 GRAM INTRAVENOUS SOLUTION,97,97,*
1677,FONDAPARINUX 2.5 MG/0.5 ML SUBCUTANEOUS SOLUTION SYRINGE,175,175,*
1678,"SIMETHICONE 40 MG/0.6 ML ORAL DROPS,SUSPENSION",3,3,*
1679,VALACYCLOVIR 500 MG TABLET,5,5,*
1680,"FENTANYL (PF) 1,250 MCG/25 ML (50 MCG/ML) IN 0.9 % NACL PCA SYRINGE",121,121,*
1681,OLANZAPINE 2.5 MG TABLET,3,3,*
1682,IRON POLYSACCH CPLX 150 MG IRON-VIT B12 25 MCG-FOLIC ACID 1 MG CAPSULE,3,3,*
1683,QUETIAPINE 100 MG TABLET,3,3,*
1684,PRENATAL VITAMIN WITH CALCIUM NO.72-IRON 27 MG-FOLIC ACID 1 MG TABLET,3,3,*
1685,MIDAZOLAM 1 MG/ML IN 0.9 % SODIUM CHLORIDE INTRAVENOUS,300,300,*
1686,CARVEDILOL 3.125 MG TABLET,3,3,*
1687,FLUORESCEIN 1 MG EYE STRIPS,5,5,*
1688,TRACE ELEMENTS CR-CU-MN-SE-ZN 10 MCG-1 MG-0.5 MG-60 MCG-5MG/ML IV SOLN,159,159,*
1689,LAMOTRIGINE 25 MG TABLET,3,3,*
1690,MAR MESSAGE - INSULIN U500,0,0,*
1691,"DICLOFENAC SODIUM 75 MG TABLET,DELAYED RELEASE",3,3,*
1692,KETOROLAC 0.5 % EYE DROPS,43,43,*
1693,"WATER FOR INJECTION, STERILE INJECTION SOLUTION",8,8,*
1694,"THROMBIN (BOVINE) 20,000 UNIT TOPICAL SPRAY","1,367.50","1,367.50",*
1695,NATEGLINIDE 60 MG TABLET,3,3,*
1696,METHYLERGONOVINE 0.2 MG/ML (1 ML) INJECTION SOLUTION,46,46,*
1697,BETAMETHASONE ACETATE AND SODIUM PHOS 6 MG/ML SUSPENSION FOR INJECTION,99,99,*
1698,TETANUS IMMUNE GLOBULIN (PF) 250 UNIT INTRAMUSCULAR SYRINGE,"2,839.50","2,839.50",*
1699,DEXTRAN 40 10 % IN 0.9 % SODIUM CHLORIDE INTRAVENOUS SOLUTION,299,299,*
1700,HYDROMORPHONE 1 MG IN 1 ML NS SYRINGE,5,5,*
1701,CEFTRIAXONE 1 GRAM SOLUTION FOR INJECTION,30,30,*
1702,AZATHIOPRINE 25 MG PO TAB,5,5,*
1703,SUMATRIPTAN 6 MG/0.5 ML SUBCUTANEOUS SOLUTION,17,17,*
1704,ALTEPLASE 100 MG INTRAVENOUS SOLUTION,"18,017.50","18,017.50",*
1705,ZIPRASIDONE 20 MG CAPSULE,6,6,*
1706,ONDANSETRON HCL 4 MG/5 ML ORAL SOLUTION,16,16,*
1707,BUDESONIDE-FORMOTEROL HFA 80 MCG-4.5 MCG/ACTUATION AEROSOL INHALER,254,254,*
1708,MAGNESIUM HYDROXIDE 400 MG/5 ML ORAL SUSPENSION,0,0,*
1709,"NYSTATIN 500,000 UNIT TABLET",5,5,*
1710,TAMSULOSIN 0.4 MG CAPSULE,3,3,*
